Question,Answer
Enemi,Sliding step
Ayumi ashi,Stepping across
Tenkai,180 turn
Tenkan,"180 turn, foot follows"
Irimi tenkan,"Step, 180, foot follows"
Hantai ten kan,90 turn
Ukemi,Roll
Ski,Jab
Shiko,Knee walking
Ikkyo,First pin
Nikkyo,Second pin
Sankkyo,Third pin
Yonkkyo,Fourth pin
Gokkyo,Fifth pin
Shihonage,Throw of four directions
Iriminage,Entering throw
Kokyuho,Breathing throw
Kotegeashi,Throw by twisting the wrist
Taisubaki,Footwork
Shomenuchi,Chopping strike
Katate dori,Mirrored grab
Ryotedori,Two handed grab
Kata dori,Clothing grab
Mai,Forwards
Ushero,Backwards
Nage,Thrower
Uke,Faller
Seiza,Seated on knees
Keiza,"Seated on knees, toes up"
Rei,Bow
Omote,In front
Ura,Behind
Morote dori,Two to one grab
Ushero ryotedori,"Behind, two handed grab"
Sensei,Teacher
Shihan,Master teacher
Shoman,Founder
Onegaishimasu,I humbly request
Domo arigato gozaimasu,Thank you very much
Aikido,Way of unifying with the spirit
